2024-07-25 01:30:53.581 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Starting CategoryServiceTest using Java 22.0.1 with PID 2982 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 01:30:53.582 | main                      | DEBUG | com.example.final_project.service.CategoryServiceTest                   -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 01:30:53.582 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 01:30:57.890 | main                      | INFO  | com.example.final_project.service.CategoryServiceTest                   -  Started CategoryServiceTest in 4.517 seconds (process running for 4.981)
2024-07-25 01:31:40.036 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Starting ProductControllerTest using Java 22.0.1 with PID 2994 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 01:31:40.036 | main                      | DEBUG | com.example.final_project.controller.ProductControllerTest              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 01:31:40.037 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 01:31:41.422 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-25 01:31:41.453 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Started ProductControllerTest in 1.683 seconds (process running for 2.202)
2024-07-25 01:35:55.829 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Starting ProductControllerTest using Java 22.0.1 with PID 3055 (started by zaras in /Users/zaras/Desktop/Final_Project)
2024-07-25 01:35:55.829 | main                      | DEBUG | com.example.final_project.controller.ProductControllerTest              -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-25 01:35:55.830 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  No active profile set, falling back to 1 default profile: "default"
2024-07-25 01:35:57.187 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-25 01:35:57.208 | main                      | INFO  | com.example.final_project.controller.ProductControllerTest              -  Started ProductControllerTest in 1.771 seconds (process running for 2.274)
