2024-07-20 21:03:58.766 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-20 21:04:13.250 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  Starting FinalProjectApplication using Java 22.0.1 with PID 6304 (/Users/temaolefirenko/Desktop/lessons_java/Final_Project/target/classes started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 21:04:13.251 | main                      | DEBUG | com.example.final_project.FinalProjectApplication                       -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 21:04:13.251 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 21:04:14.625 | main                      | DEBUG | com.example.final_project.security.jwt.JwtFilter                        -  Filter 'jwtFilter' configured for use
2024-07-20 21:04:17.771 | main                      | INFO  | com.example.final_project.FinalProjectApplication                       -  Started FinalProjectApplication in 4.888 seconds (process running for 5.14)
2024-07-20 22:03:05.355 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Starting OrderRepositoryTest using Java 22.0.1 with PID 7376 (started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 22:03:05.356 | main                      | DEBUG | com.example.final_project.repository.OrderRepositoryTest                -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 22:03:05.356 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 22:03:07.906 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Started OrderRepositoryTest in 2.805 seconds (process running for 4.368)
2024-07-20 22:09:35.387 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Starting OrderRepositoryTest using Java 22.0.1 with PID 7470 (started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 22:09:35.388 | main                      | DEBUG | com.example.final_project.repository.OrderRepositoryTest                -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 22:09:35.389 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 22:09:38.125 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Started OrderRepositoryTest in 3.039 seconds (process running for 3.748)
2024-07-20 22:10:36.454 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Starting OrderRepositoryTest using Java 22.0.1 with PID 7481 (started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 22:10:36.454 | main                      | DEBUG | com.example.final_project.repository.OrderRepositoryTest                -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 22:10:36.455 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 22:10:38.811 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Started OrderRepositoryTest in 2.603 seconds (process running for 3.224)
2024-07-20 22:12:12.399 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Starting OrderRepositoryTest using Java 22.0.1 with PID 7489 (started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 22:12:12.400 | main                      | DEBUG | com.example.final_project.repository.OrderRepositoryTest                -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 22:12:12.400 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 22:12:14.729 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Started OrderRepositoryTest in 2.58 seconds (process running for 3.223)
2024-07-20 22:15:38.050 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Starting OrderRepositoryTest using Java 22.0.1 with PID 7522 (started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 22:15:38.051 | main                      | DEBUG | com.example.final_project.repository.OrderRepositoryTest                -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 22:15:38.051 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 22:15:40.390 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Started OrderRepositoryTest in 2.595 seconds (process running for 3.173)
2024-07-20 22:16:19.536 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Starting OrderRepositoryTest using Java 22.0.1 with PID 7546 (started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 22:16:19.537 | main                      | DEBUG | com.example.final_project.repository.OrderRepositoryTest                -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 22:16:19.538 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 22:16:22.217 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Started OrderRepositoryTest in 2.999 seconds (process running for 3.684)
2024-07-20 22:16:31.926 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Starting OrderRepositoryTest using Java 22.0.1 with PID 7555 (started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 22:16:31.927 | main                      | DEBUG | com.example.final_project.repository.OrderRepositoryTest                -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 22:16:31.927 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 22:16:34.204 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Started OrderRepositoryTest in 2.549 seconds (process running for 3.146)
2024-07-20 22:16:53.788 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Starting OrderRepositoryTest using Java 22.0.1 with PID 7573 (started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 22:16:53.788 | main                      | DEBUG | com.example.final_project.repository.OrderRepositoryTest                -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 22:16:53.789 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 22:16:56.164 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Started OrderRepositoryTest in 2.634 seconds (process running for 3.267)
2024-07-20 22:18:05.749 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Starting OrderRepositoryTest using Java 22.0.1 with PID 7617 (started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 22:18:05.750 | main                      | DEBUG | com.example.final_project.repository.OrderRepositoryTest                -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 22:18:05.750 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 22:18:08.243 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Started OrderRepositoryTest in 2.754 seconds (process running for 3.548)
2024-07-20 22:18:17.737 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Starting OrderRepositoryTest using Java 22.0.1 with PID 7633 (started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 22:18:17.737 | main                      | DEBUG | com.example.final_project.repository.OrderRepositoryTest                -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 22:18:17.737 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 22:18:20.018 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Started OrderRepositoryTest in 2.555 seconds (process running for 3.093)
2024-07-20 22:19:05.585 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Starting OrderRepositoryTest using Java 22.0.1 with PID 7665 (started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 22:19:05.586 | main                      | DEBUG | com.example.final_project.repository.OrderRepositoryTest                -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 22:19:05.586 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 22:19:07.945 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Started OrderRepositoryTest in 2.651 seconds (process running for 3.749)
2024-07-20 22:21:33.122 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Starting OrderRepositoryTest using Java 22.0.1 with PID 7698 (started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 22:21:33.123 | main                      | DEBUG | com.example.final_project.repository.OrderRepositoryTest                -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 22:21:33.123 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 22:21:35.393 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Started OrderRepositoryTest in 2.523 seconds (process running for 3.111)
2024-07-20 22:23:51.233 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Starting OrderRepositoryTest using Java 22.0.1 with PID 7713 (started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 22:23:51.234 | main                      | DEBUG | com.example.final_project.repository.OrderRepositoryTest                -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 22:23:51.234 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 22:23:53.589 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Started OrderRepositoryTest in 2.623 seconds (process running for 3.208)
2024-07-20 22:26:39.775 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Starting OrderRepositoryTest using Java 22.0.1 with PID 7750 (started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 22:26:39.776 | main                      | DEBUG | com.example.final_project.repository.OrderRepositoryTest                -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 22:26:39.777 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 22:26:42.463 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Started OrderRepositoryTest in 2.983 seconds (process running for 3.784)
2024-07-20 22:29:05.151 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Starting OrderRepositoryTest using Java 22.0.1 with PID 7771 (started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 22:29:05.152 | main                      | DEBUG | com.example.final_project.repository.OrderRepositoryTest                -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 22:29:05.152 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 22:29:07.638 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Started OrderRepositoryTest in 3.225 seconds (process running for 3.864)
2024-07-20 22:29:27.902 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Starting OrderRepositoryTest using Java 22.0.1 with PID 7792 (started by temaolefirenko in /Users/temaolefirenko/Desktop/lessons_java/Final_Project)
2024-07-20 22:29:27.903 | main                      | DEBUG | com.example.final_project.repository.OrderRepositoryTest                -  Running with Spring Boot v3.3.0, Spring v6.1.8
2024-07-20 22:29:27.903 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  No active profile set, falling back to 1 default profile: "default"
2024-07-20 22:29:30.228 | main                      | INFO  | com.example.final_project.repository.OrderRepositoryTest                -  Started OrderRepositoryTest in 2.59 seconds (process running for 3.158)
